,normal limits,normal chest x ray,normal for age,hyperinflation,atelectasis,compressive atelectasis,platelike atelectasis,small lung volume,fibrotic changes,bronchiectasis,infiltrate,consolidation,contusion,opacity,pneumonitis,atypical pneumonia,tuberculosis,granulomatous disease,bronchopneumonia,pulmonary vascular congestion,pulmonary edema,heart failure,bronchial wall thickening,peribronchial thickening,air bronchogram,granuloma,nodule,mass,interstitial markings,interstitial lung disease,interstitial infiltrate,air trapping,pulmonary fibrosis,pleural thickening,pneumothorax,pleural calcifications,cardiomegaly,heart size,normal heart size,dextrocardia,aortic calcification,lymphadenopathy,tortuous aorta,aortic atherosclerosis,mediastinal widening,tracheostomy,mediastinal mass,hilar mass,pulmonary hypertension,pneumomediastinum,elevated diaphragm,flat,degenerative changes,rib fracture,scoliosis,kyphosis,osteophyte,osteopenia,mineralization,arthritis,pectus deformity,humerus fracture,clavicular fracture,thoracotomy,cervical rib,dish,arthroplasty,calcific tendinitis,resection,skin fold,nipple,motion artifact,cholecystectomy,central line,et tube,ecmo,orogastric tube,vascular stent,surgical clips,cabg,chest tube,ecg,swan ganz catheter,sutures,breast implant,stimulator,staples,drainage catheter,pigtail catheter,foreign body,oxygen tubing
190,,,,, the patchy peribronchial opacity in the retrocardiac left lower lobe is most likely subsegmental atelectasis,,,,,, study portable chest x ray indication fever date date comparisons date findings there are infiltrates seen bilaterally in the lower lung zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,,,, findings there are patchy airspace densities in the retrocardiac portion of the left lower lung compatible with pneumonia or atelectasis,,,,,, lungs appear clear without infiltrate mass or significant atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,,,, patchy airspace densities in the retrocardiac portion of the left lower lung compatible with pneumonia or atelectasis,,,,,, examination xr chest views frontal lateral date date am comparison xr chest view portable date pm clinical history status post redo pulmonary valve replacement findings lungs pleural space interval clearing of lung infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,,,, there is mild hazy somewhat streaky increased density at the upper lateral portion of the left lung which may represent pneumonia or could represent atelectasis,,,,,, interval clearing of lung infiltrates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,,,, there are a few faint streaky linear densities at the lung bases seen more on the right laterally consistent with a small amount of subsegmental atelectasis or scarring which was also seen in the ct scan performed earlier the same day,,,,,, findings there is increased density in the right lower lung field suggesting atelectasis versus infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,,,, there is some hazy somewhat streaky increased density at upper lateral portion of the left lung which may represent pneumonia or could represent atelectasis,,,,,, report impression increased density in the right lung base suggesting atelectasis versus infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,,,, there are a few faint streaky linear densities at the lung bases more apparent laterally on the right consistent with subsegmental atelectasis or scarring,,,,,, report impression central venous congestion with mild perihilar interstitial infiltrates suggesting chf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,,,, findings there are right basilar linear densities compatible with platelike atelectasis,,,,,, ill defined bilateral infiltrates persist without immediate change from the most recent study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,,,, right basilar platelike atelectasis,,,,,, report impression persisting ill defined bilateral infiltrates unchanged from may ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,, worsening left lower lobe atelectasis or pneumonia,,,,,, history c o pain to lt rib cage findings exams report header chest v report body chest x ray shows a right base infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,,,, findings slight basilar atelectasis,,,,,, report impression right base infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,,,, examination xr chest view portable date am comparison xr chest view portable date date pm history atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,,,, there are low lung volumes with bilateral basilar atelectasis or infiltrate left greater than right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,,,, low lung volumes with persistent bilateral basilar atelectasis or infiltrate with little significant change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,,,, minor basilar atelectasis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,,,, increased density is present in the right lung base concerning for effusion with atelectasis and or infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,,,, right pleural effusion with right lower lobe atelectasis versus infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,,, somewhat improved aeration throughout the lung fields with persistent bibasilar stranding densities most compatible with atelectasis versus scar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,,,, somewhat improved aeration throughout the lung fields with persistent probable atelectasis versus scar in the lung bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,,,, overlapping densities versus small posterior right lung base parenchymal infiltrate possible atelectasis versus bronchopneumonia synoptic clinical data elements synoptic data in this section is for data collection qa and is incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,,,, pulmonary edema with patchy atelectasis versus consolidation in the bases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,,,, left basilar airspace opacity which may represent pulmonary contusion or atelectasis in the posttraumatic setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,,,, there is mild patchy left basilar density compatible with pneumonia or less likely atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,,,, mild patchy left basilar density compatible with pneumonia or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,,,, in clinical context of cough fever elevated wbc or other signs of lung infection findings would be compatible with pneumonia otherwise atelectasis should be considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,,,, subsegmental atelectasis in the lingula is observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,,,, probable subsegmental atelectasis in the lingula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,,,, atelectasis in the left perihilar and infrahilar region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,,,, impression atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,,,, bibasilar stranding densities suggestive of atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,,,, report impression bibasilar infiltrate atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,,,, indication history atelectasis respiratory difficulty comparison date findings lines tubes right internal jugular central line has its tip near the distal svc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,,,, there are increased right perihilar opacities which could represent pneumonia or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,,,, bibasilar atelectasis and or consolidation is unchanged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,,, findings cardiomediastinal silhouette enlarged lungs right greater than left patchy consolidations and atelectasis of the mid to lower lung zones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,,,, decreased lung volumes with right greater than left consolidations and atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,,,, there is atelectasis in the right lung base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,,,, cardiomegaly with atelectasis in right lung base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,,,, there is increased density in the visualized left lung base suggesting atelectasis versus infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,,,, there is persistent retrocardiac atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,,,, improving atelectasis is seen in the right lung base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,,,, lungs there is increased retrocardiac opacity concerning for retrocardiac infiltrate or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,,,, report impression cardiomegaly with findings concerning for left lower lobe infiltrate or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,,,, there is mild patchy right basilar density compatible with pneumonia or less likely atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,,,, in clinical context of cough fever elevated wbc or other signs of lung infection findings would be compatible with pneumonia otherwise atelectasis should be considered,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,,,, there is elevation of the right hemidiaphragm mild right base opacity which probably some atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,,,, chronic changes as described with some minimal right base opacity probably atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,,,, date examination chest views with date comparison clinical history history of mycobacterium avium pneumonitis complaining of fracture findings again identified are areas of atelectasis or scarring within the medial aspect of both lung bases involving the right middle lobe and lingula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,,,, mild right lower lung atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,,,, report impression minimal atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,,,, adjacent opacity in the lung may represent atelectasis or pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,,,, hypoventilatory study with mild bibasilar atelectasis and chronic mild elevation right hemidiaphragm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,,,, slight progression of left basilar volume loss presumably atelectasis with small left pleural effusion and slight progression of mild left hemidiaphragm elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,,,, persistent minor scattered right basilar subsegmental atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,,,, ongoing initial evaluation findings lungs persistent bibasilar atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,,,, findings lungs and pleural spaces trace right pleural effusion with right basilar atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,,,, improving aeration of the right lung since the prior examination with mild right basilar atelectasis and trace right pleural effusion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,,,, exam is expiratory with minimal perihilar atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,,,, expiratory exam with minimal perihilar atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,,,, bilateral consolidations left greater than right consistent with superimposed atelectasis or pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,,,, there is vague increased density in the medial aspect of the left lower lobe which obscures the hemidiaphragm and is most likely secondary to subsegmental atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,,,, this is consistent with pneumonia or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,,,, report impression bilateral large effusions with or without underlying infiltrates or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,,,, there is mild bilateral basilar atelectasis or infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,,,, report impression mild bilateral basilar atelectasis or infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,,,, patchy opacity is seen within the right middle lobe and right lung base which could represent atelectasis contusion or even pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,,,, patchy opacity in the right lung base which could represent atelectasis contusion or less likely pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,,,, history r o pneumonia findings exams report header chest v report body views of the chest show airspace opacification at the left base consistent with pneumonia or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,,,, report impression left lower lobe infiltrate atelectasis superimposed on bibasilar fibrosis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,,,, multifocal opacities consistent with consolidation versus atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,,,, right pleural effusion with atelectasis versus consolidation in the base as well as the midlung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,,,, lungs appear clear without infiltrate mass or significant atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,,,, there is elevation of the right hemidiaphragm with minimal subsegmental atelectasis at the right base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,,,, elevated right hemidiaphragm and subsegmental atelectasis at the right base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,,,, there is retrocardiac opacification which may represent pneumonia or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,,,, lungs low lung volumes with bilateral basilar atelectasis and or consolidations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,,,, findings there is a moderate size left pleural effusion with associated compressive atelectasis at the left lung base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,,,, persistent lower lung zone consolidation atelectasis and pleural effusions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,,, findings there is increased density in the right lower lung field suggesting atelectasis versus infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,,,, report impression increased density in the right lung base suggesting atelectasis versus infiltrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,,,, mild left basilar scarring or atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,,,, findings patchy areas of atelectasis are identified in both lungs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,,,, patchy bilateral atelectasis likely chronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,,,,, ill defined opacity within the right lower lung zone either a presenting atelectasis versus pneumonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,,,, multiple left sided rib fractures are again seen and persistent bibasilar opacity reflecting pleural fluid associated atelectasis equivocally progressive right greater than left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,,,, left basilar atelectasis is identified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,,,, report impression left basilar atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,,,, there a few areas of scarring and atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,,,, findings lungs streaky linear densities at the left lung base are seen which likely represent atelectasis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,,,, findings most consistent with mild linear atelectasis at the left lung base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
